firstName,lastName,email,phoneNumber,Address
Two Door Cupboard,A premium metal Cupboard,Anshika@gmail.com,9175308706,Lucknow
Round Table,3 legged round table,Askakshay@gmail.com,8888888888,Kolkata
Relax chair,Relax chair for resting,Aakhilesh@gmail.com,7586454548,Mumbai
Tea poy,Glass Teapoy,venkyboya@gmail.com,4963251020,coimbatore
Vase,A beautiful flower Vase,venkyaskinga@gmail.com,4859685120,punjab
Carpet,A red 24 inch carpet for floor,verureddyy@gmail.com,7596845620,bangalore
LG TV,A 43 inch Qled Tv ,reddymailing@gmail.com@gmail.com,7586222201,noida
 harman speaker,Loud 18 Watt speaker's,donaldd@gmail.com,7452632100,pune
doormat,rugged doormat for door's,lphilip@gmail.com,8465465230,raigad
Led Bulb,Multicolored led bulb ,jacob@gmail.com,7569556230,kashmir
Iphone 14,Iphone with A14 biochip and 4 cameras,methewcl@gmail.com,9175308706,bandra
